Object,Close-Approach (CA) Date,CA DistanceNominal (km),CA DistanceMinimum (km),V relative(km/s),V infinity(km/s),H(mag),Diameter,Rarity
(2021 NT14),2023-Oct-13 17:10 ± < 00:01,7126367,7126331,8.58,8.57,20.7,190 m -  430 m,1
(2023 TU5),2023-Oct-13 18:37 ± < 00:01,1767999,1734003,8.34,8.31,27.8,7.4 m -   16 m,0
(2023 TD4),2023-Oct-13 22:56 ± < 00:01,2160039,2146252,6.42,6.39,27.2,9.6 m -   21 m,0
(2023 TJ12),2023-Oct-14 05:23 ± < 00:01,4083234,4052869,10.66,10.65,26.7,12 m -   28 m,0
(2023 UE),2023-Oct-14 05:45 ± < 00:01,750010,749523,5.22,5.12,28.9,4.5 m - 10.0 m,0
(2023 TO4),2023-Oct-14 06:59 ± < 00:01,711890,710369,16.79,16.75,27.5,8.3 m -   18 m,0
(2023 TD7),2023-Oct-14 11:11 ± < 00:01,171460,171261,10.09,9.86,29.2,3.8 m -  8.6 m,0
(2023 TQ3),2023-Oct-14 12:36 ± < 00:01,1473804,1472082,11.25,11.23,25.6,20 m -   45 m,0
(2023 TO17),2023-Oct-14 14:35 ± < 00:01,54346,54292,15.16,14.67,29.7,3.1 m -  6.9 m,0
(2023 TD8),2023-Oct-14 16:14 ± < 00:01,2159648,2153201,9.86,9.84,28.1,6.3 m -   14 m,0
(2023 UY),2023-Oct-14 17:43 ±    00:02,155572,155248,8.03,7.71,30,2.7 m -  6.1 m,0
(2023 US2),2023-Oct-15 02:30 ±    00:22,3506279,3443742,11.85,11.84,27,10 m -   23 m,0
(2023 TC7),2023-Oct-15 03:20 ± < 00:01,666269,665858,6.8,6.72,26.9,11 m -   25 m,0
(2023 TZ6),2023-Oct-15 04:47 ± < 00:01,4247430,4216351,12.51,12.5,26.4,14 m -   31 m,0
(2011 GA),2023-Oct-15 07:09 ± < 00:01,2607992,2607990,16.59,16.59,20.7,190 m -  420 m,2
(2023 UJ6),2023-Oct-15 09:43 ±    00:03,3532555,3497764,19.24,19.23,27.6,8.1 m -   18 m,0
(2023 UY1),2023-Oct-15 10:06 ±    00:18,4140390,4091507,6.16,6.14,27.2,9.8 m -   22 m,0
(2023 TD167),2023-Oct-15 13:11 ± < 00:01,993484,990928,3.26,3.14,29.4,3.6 m -  7.9 m,0
(2023 UX1),2023-Oct-15 16:34 ±    00:03,2511109,2494056,20.73,20.73,26,17 m -   37 m,0
(2023 UB),2023-Oct-15 19:08 ± < 00:01,58638,58595,15.55,15.11,30.1,2.6 m -  5.8 m,0
(2023 TZ8),2023-Oct-15 20:35 ±    00:06,4252134,4211419,9.43,9.42,26.7,12 m -   28 m,0
(2007 SQ6),2023-Oct-15 23:26 ± < 00:01,7414749,7414729,6.45,6.45,22.2,97 m -  220 m,0
(2023 US),2023-Oct-16 05:14 ± < 00:01,4192519,4169127,8.63,8.62,25.8,18 m -   40 m,0
(2023 TA4),2023-Oct-16 08:07 ± < 00:01,2796400,2790112,4.15,4.11,27.6,8.1 m -   18 m,0
(2023 TR15),2023-Oct-16 09:35 ±    00:01,1318475,1314592,8.78,8.75,28,6.6 m -   15 m,0
(2023 UR2),2023-Oct-16 11:17 ± < 00:01,1283166,1280724,8.18,8.14,26.4,14 m -   31 m,0
(2023 UL9),2023-Oct-16 13:37 ±    00:05,5663209,5556859,13.41,13.41,25.8,18 m -   41 m,0
(2019 UZ3),2023-Oct-16 13:53 ± 7_11:48,3674854,2690376,8.31,8.3,27,11 m -   24 m,0
(2023 TT8),2023-Oct-16 18:41 ± < 00:01,2214390,2207336,7.93,7.91,26.6,13 m -   28 m,0
(2023 TN15),2023-Oct-16 22:45 ±    00:10,4744257,4726176,3.86,3.84,27.4,8.8 m -   20 m,0
(1998 HH49),2023-Oct-17 00:33 ± < 00:01,1173362,1173362,14.79,14.76,21.4,140 m -  310 m,2
(2023 UM10),2023-Oct-17 07:03 ±    01:34,750371,735807,10.14,10.09,27.9,7.1 m -   16 m,0
(2023 UU1),2023-Oct-17 11:41 ± < 00:01,526036,525136,9.14,9.05,27.4,8.6 m -   19 m,0
(2023 TF8),2023-Oct-17 12:40 ± < 00:01,2106143,2090957,20.12,20.11,26.9,11 m -   25 m,0
(2023 WH3),2023-Oct-17 13:26 ±    02:22,5910104,5847026,12.81,12.81,22.5,83 m -  190 m,1
(2023 TT15),2023-Oct-17 15:20 ± < 00:01,2390212,2383070,6.42,6.39,28.1,6.4 m -   14 m,0
(2023 TH12),2023-Oct-17 15:54 ± < 00:01,2968244,2960353,8.34,8.33,26,17 m -   38 m,0
(2023 TT16),2023-Oct-17 16:34 ± < 00:01,524932,524177,20.19,20.16,27.9,7.0 m -   16 m,0
(2023 UR3),2023-Oct-17 20:55 ± < 00:01,2577401,2566674,8.34,8.33,26.3,15 m -   33 m,0
(2023 TT36),2023-Oct-18 00:01 ±    00:02,4476973,4423636,7.13,7.11,26.4,14 m -   31 m,0
(2023 UX2),2023-Oct-18 07:29 ± < 00:01,202983,202790,18.75,18.64,29.5,3.3 m -  7.5 m,0
(2023 UJ1),2023-Oct-18 07:44 ± < 00:01,5126205,5087039,14.69,14.68,26.1,16 m -   36 m,0
(2023 UL3),2023-Oct-18 08:08 ± < 00:01,1483099,1478361,13.54,13.52,26.6,12 m -   28 m,0
(2023 UH9),2023-Oct-18 17:12 ±    00:10,104456,103954,9.41,8.99,30.8,1.8 m -  4.1 m,0
(2023 UQ10),2023-Oct-18 17:20 ±    00:39,1466686,1433797,7.37,7.33,27.3,9.2 m -   21 m,0
(2023 UF3),2023-Oct-18 18:32 ±    00:01,1660764,1653832,7.16,7.13,27.2,9.5 m -   21 m,0
(2023 UP6),2023-Oct-18 20:08 ± < 00:01,4756837,4717444,16.22,16.22,25.6,20 m -   45 m,0
(2023 UR7),2023-Oct-18 22:19 ± < 00:01,3157382,3143667,7.71,7.69,26.5,13 m -   30 m,0
(2022 UO10),2023-Oct-19 00:38 ±    02:42,2968401,2657165,9.77,9.75,26.8,12 m -   26 m,0
(2023 UJ9),2023-Oct-19 02:02 ± < 00:01,740291,735511,14.87,14.84,27.7,7.6 m -   17 m,0
(2023 TH4),2023-Oct-19 02:30 ± < 00:01,2119888,2113758,5.41,5.38,27,10 m -   23 m,0
(2023 US6),2023-Oct-19 02:38 ±    00:14,1340577,1334366,15.37,15.35,27.2,9.6 m -   21 m,0
(2023 TM14),2023-Oct-19 07:07 ± < 00:01,3161916,3155435,6.96,6.95,26.7,12 m -   28 m,0
(2023 TY19),2023-Oct-19 09:36 ±    00:01,5591600,5513531,9.19,9.19,26.5,14 m -   30 m,0
(2023 TP7),2023-Oct-19 11:13 ± < 00:01,3069625,3053026,11.66,11.65,25.6,20 m -   46 m,0
(2023 UT8),2023-Oct-19 13:18 ±    01:15,4213826,4122793,6.52,6.5,27.4,8.8 m -   20 m,0
(2023 UP),2023-Oct-19 17:29 ± < 00:01,1018473,1016118,14.17,14.15,27.9,7.0 m -   16 m,0
(2023 UW4),2023-Oct-19 17:58 ± < 00:01,562566,561663,10.89,10.83,28.1,6.4 m -   14 m,0
(2023 UM4),2023-Oct-19 22:35 ±    00:05,2255454,2236495,9.63,9.61,26.4,14 m -   32 m,0
(2023 UW1),2023-Oct-19 23:46 ± < 00:01,797105,796392,7.4,7.33,26.9,11 m -   25 m,0
(2023 UH13),2023-Oct-20 01:29 ±    00:01,5336429,5273228,16.39,16.39,25.9,18 m -   39 m,0
(2020 UR),2023-Oct-20 03:58 ± 5_17:43,2230663,1362641,12.91,12.9,27.9,7.0 m -   16 m,0
(2023 UR10),2023-Oct-20 04:24 ±    00:32,13949,13894,12.21,9.58,30,2.7 m -  6.1 m,1
(2023 TK15),2023-Oct-20 07:16 ± < 00:01,379647,379604,21.95,21.9,25.9,18 m -   39 m,1
(2023 UH),2023-Oct-20 09:16 ± < 00:01,2589887,2579042,11.09,11.08,26.1,16 m -   35 m,0
(2023 VB1),2023-Oct-20 23:03 ±    00:05,5762850,5718798,7.23,7.22,25.7,19 m -   43 m,0
(2023 UD4),2023-Oct-21 00:45 ± < 00:01,506580,506247,4.26,4.07,28,6.6 m -   15 m,0
(2023 UV1),2023-Oct-21 01:13 ± < 00:01,1091862,1090008,9.69,9.65,26.6,13 m -   28 m,0
(2023 UR1),2023-Oct-21 01:17 ± < 00:01,834338,834328,8.22,8.16,24.7,31 m -   69 m,1
(2023 UE6),2023-Oct-21 03:28 ±    00:02,2100633,2085009,7.35,7.33,27.6,7.9 m -   18 m,0
(2023 UQ6),2023-Oct-21 04:17 ±    00:01,4687513,4663672,18.01,18,25.4,22 m -   50 m,0
(2023 UW),2023-Oct-21 05:10 ± < 00:01,1610738,1608504,5.95,5.91,28,6.8 m -   15 m,0
(2023 UN),2023-Oct-21 09:38 ± < 00:01,505559,505549,11.24,11.16,26.1,16 m -   36 m,1
(2023 UG3),2023-Oct-21 10:08 ± < 00:01,1759208,1753978,12.13,12.11,26.3,14 m -   32 m,0
(2023 UL2),2023-Oct-21 14:51 ± < 00:01,5607215,5588647,15.74,15.74,24.3,37 m -   82 m,0
(2023 UH1),2023-Oct-21 16:14 ± < 00:01,3772543,3765923,5.06,5.04,27.1,10 m -   23 m,0
(2023 UE3),2023-Oct-21 19:31 ± < 00:01,948398,947101,4.69,4.6,28.6,5.1 m -   11 m,0
(2023 UP2),2023-Oct-21 23:22 ± < 00:01,1411662,1401274,8.74,8.71,26.7,12 m -   27 m,0
(2023 UG1),2023-Oct-22 05:10 ± < 00:01,1685074,1682807,2.87,2.78,27.5,8.3 m -   19 m,0
(2023 TW4),2023-Oct-22 05:50 ± < 00:01,2441865,2432737,10.54,10.52,25.6,20 m -   44 m,0
(2023 TX2),2023-Oct-22 12:53 ± < 00:01,5070317,5056042,7.51,7.5,25.5,22 m -   48 m,0
(2023 TW26),2023-Oct-22 13:30 ± < 00:01,897634,895736,5.63,5.55,28.6,5.1 m -   11 m,0
(2023 UZ),2023-Oct-22 15:56 ± < 00:01,941593,940235,13.13,13.09,27.3,9.4 m -   21 m,0
(2023 TP16),2023-Oct-23 06:18 ±    00:04,1450306,1447427,1.5,1.3,29.8,2.9 m -  6.6 m,0
(2023 TV4),2023-Oct-23 07:51 ± < 00:01,1939311,1936490,5,4.96,25.8,19 m -   42 m,0
(2023 VP),2023-Oct-23 08:07 ±    00:05,5849977,5788942,12.52,12.51,24.6,33 m -   73 m,0
(2020 FM6),2023-Oct-23 09:57 ± < 00:01,6435719,6435674,15.77,15.76,21.9,110 m -  240 m,1
(2023 UU4),2023-Oct-23 11:09 ± < 00:01,2064324,2052507,16.08,16.07,25.8,18 m -   41 m,0
(2023 UU6),2023-Oct-23 12:10 ±    00:09,4922481,4869461,11.41,11.4,26.9,11 m -   25 m,0
(2023 TC6),2023-Oct-23 13:06 ± < 00:01,5117006,5067224,8.45,8.44,25,27 m -   60 m,0
(2023 VC1),2023-Oct-23 15:41 ±    00:02,2774477,2763905,4.36,4.33,26.4,14 m -   32 m,0
(2023 UN10),2023-Oct-23 18:43 ± < 00:01,5825979,5799059,10.81,10.81,24.2,38 m -   85 m,0
(2023 VR1),2023-Oct-23 19:31 ±    00:06,4269355,4226976,9.21,9.2,25.8,18 m -   41 m,0
(2023 UK3),2023-Oct-23 19:47 ± < 00:01,834646,833421,8.67,8.61,29.2,3.8 m -  8.6 m,0
(2023 VM),2023-Oct-23 23:44 ±    00:04,5774421,5684776,20.99,20.99,23.9,45 m -  100 m,0
(2023 TX8),2023-Oct-24 02:02 ± < 00:01,1275020,1273987,5.6,5.54,26.6,13 m -   29 m,0
(2023 VY),2023-Oct-24 06:33 ±    00:05,6541504,6441924,10.88,10.88,25.3,23 m -   52 m,0
(2023 VB),2023-Oct-24 07:10 ±    00:02,2737474,2725750,12.14,12.13,25.2,24 m -   53 m,0
(2019 HH4),2023-Oct-24 10:46 ± < 00:01,5079815,5079815,20.02,20.01,19.8,290 m -  650 m,1
(2023 UO3),2023-Oct-24 11:14 ± < 00:01,2603591,2592395,8.88,8.86,25.8,19 m -   41 m,0
(2023 UN7),2023-Oct-24 16:52 ± < 00:01,5877529,5857803,14.12,14.12,24.1,41 m -   91 m,0
(2023 TE6),2023-Oct-24 17:28 ± < 00:01,6512146,6492016,4.16,4.15,26.4,14 m -   31 m,0
(2023 RA4),2023-Oct-24 18:42 ± < 00:01,3226338,3226252,3.93,3.9,24.6,31 m -   70 m,0
(2023 UH5),2023-Oct-24 20:22 ± < 00:01,2763676,2759003,10.31,10.3,25.2,24 m -   54 m,0
(2023 VY2),2023-Oct-25 00:27 ±    00:16,5925949,5884321,5.93,5.92,26.9,11 m -   25 m,0
(2023 UJ3),2023-Oct-25 00:49 ±    00:54,6786751,6757763,4.19,4.17,27.2,9.7 m -   22 m,0
(2023 UF6),2023-Oct-25 03:28 ± < 00:01,3080552,3068052,15.34,15.33,25.9,18 m -   39 m,0
(2023 UR6),2023-Oct-25 09:17 ± < 00:01,1852314,1841258,18.39,18.38,26.5,13 m -   30 m,0
(2023 VT),2023-Oct-25 14:06 ±    00:15,3287837,3276444,9.54,9.53,26.3,14 m -   32 m,0
(2023 SO11),2023-Oct-25 14:44 ± < 00:01,1277568,1277533,2.5,2.37,26.7,12 m -   27 m,0
(2023 TG14),2023-Oct-26 01:03 ± < 00:01,1589459,1587267,6.71,6.67,25.8,18 m -   40 m,0
(2023 UJ2),2023-Oct-26 04:03 ±    00:04,4536724,4517555,3.25,3.22,24.4,36 m -   80 m,0
(2023 TR7),2023-Oct-26 04:10 ± < 00:01,7409811,7347346,11.36,11.36,25.3,23 m -   51 m,0
(2021 SZ4),2023-Oct-26 05:28 ± < 00:01,5352366,5352341,29.97,29.97,20.5,210 m -  480 m,1
(2023 VD5),2023-Oct-26 10:18 ± < 00:01,6615021,6613373,14.53,14.53,24.6,32 m -   71 m,0
(2023 VN2),2023-Oct-26 21:18 ±    00:16,4276772,4225317,7.17,7.16,26.6,13 m -   28 m,0
302169 (2001 TD45),2023-Oct-26 23:00 ± < 00:01,4874614,4874613,25.68,25.68,20,270 m -  590 m,1
(2023 VQ2),2023-Oct-26 23:41 ±    00:14,1355092,1344263,9.13,9.1,26.4,14 m -   31 m,0
(2023 UO7),2023-Oct-27 09:12 ± < 00:01,412950,412114,13.81,13.74,28.3,5.8 m -   13 m,0
(2023 UV6),2023-Oct-27 11:16 ± < 00:01,3927361,3911749,7.31,7.3,26.4,14 m -   31 m,0
(2023 UK4),2023-Oct-27 12:22 ± < 00:01,4478216,4425661,11.31,11.3,26.6,13 m -   29 m,0
(2023 VA1),2023-Oct-27 16:43 ±    00:02,3123024,3096768,15.59,15.58,25.1,26 m -   57 m,0
(2023 VR2),2023-Oct-28 10:08 ±    00:02,2910946,2904854,8.21,8.19,25.4,23 m -   51 m,0
(2020 VX),2023-Oct-29 01:51 ± < 00:01,3896800,3896278,18.78,18.77,24.9,28 m -   62 m,0
(2023 VZ1),2023-Oct-29 11:38 ±    00:02,1033465,1030904,2.51,2.35,27.9,7.2 m -   16 m,0
(2023 UA2),2023-Oct-29 12:04 ± < 00:01,4938552,4903248,9.22,9.21,27,11 m -   24 m,0
(2023 VE8),2023-Oct-29 20:37 ±    00:06,4719325,4686237,8.32,8.31,25.1,25 m -   55 m,0
(2023 VC3),2023-Oct-30 04:38 ±    00:04,2409470,2375827,16.84,16.83,25.9,17 m -   38 m,0
525229 (2004 UU1),2023-Oct-30 10:41 ± < 00:01,4077000,4077000,17.43,17.42,21.2,160 m -  350 m,1
(2023 VV),2023-Oct-30 17:24 ± < 00:01,4395820,4393026,9.25,9.24,23.5,53 m -  120 m,0
(2023 VE2),2023-Oct-30 18:39 ±    00:01,2258466,2246517,6.74,6.71,27.9,7.1 m -   16 m,0
(2023 VQ),2023-Oct-30 23:39 ± < 00:01,4136782,4111926,11.59,11.58,26.3,14 m -   32 m,0
(2023 VB3),2023-Oct-31 03:47 ± < 00:01,5859259,5824834,13.67,13.67,25.3,24 m -   53 m,0
(2023 VO2),2023-Oct-31 09:40 ±    00:01,3793538,3759480,15.65,15.64,26.6,13 m -   28 m,0
(2023 TW6),2023-Oct-31 15:05 ± < 00:01,7342312,7338013,24.45,24.44,23,67 m -  150 m,0
(2023 VS1),2023-Oct-31 17:14 ± < 00:01,4474276,4424635,16.39,16.38,25,27 m -   60 m,0
(2023 VF2),2023-Oct-31 19:41 ±    00:02,2968059,2939013,9.63,9.62,27.1,9.9 m -   22 m,0
(2023 VX3),2023-Oct-31 23:29 ±    00:01,4291234,4245572,3.99,3.97,27.9,6.9 m -   15 m,0
(2023 VZ),2023-Nov-01 03:57 ± < 00:01,1010898,1007285,19.58,19.56,27,11 m -   24 m,0
(2023 VK),2023-Nov-01 04:27 ± < 00:01,4236087,4211664,13.96,13.96,25.8,19 m -   42 m,0
(2013 UV3),2023-Nov-01 11:12 ± 8_20:54,5622919,215298,15.43,15.43,26.8,12 m -   26 m,0
(2004 VZ14),2023-Nov-01 13:49 ± < 00:01,1334184,1334105,15.01,14.99,25,26 m -   58 m,0
(2023 VP5),2023-Nov-01 14:08 ±    00:05,2997233,2984483,2.78,2.73,28.2,6.1 m -   14 m,0
(2023 VX1),2023-Nov-01 20:35 ± < 00:01,3909111,3888907,19.45,19.44,25.5,22 m -   48 m,0
(2023 VQ4),2023-Nov-01 21:47 ± < 00:01,2781256,2776025,6.62,6.6,23.8,46 m -  100 m,1
(2023 UZ3),2023-Nov-01 23:31 ± < 00:01,1031952,1025442,14.39,14.36,26.4,14 m -   31 m,0
(2023 VC2),2023-Nov-02 04:36 ± < 00:01,2102479,2094983,5,4.97,27,11 m -   24 m,0
(2023 VA),2023-Nov-02 05:37 ± < 00:01,26760,26752,11.3,9.9,28.6,5.1 m -   11 m,2
(2023 VG6),2023-Nov-02 06:53 ±    00:09,4354365,4257047,8.41,8.4,27.2,9.5 m -   21 m,0
(2016 WY),2023-Nov-02 10:58 ± 1_01:57,3478017,2870404,3.94,3.91,29.2,3.8 m -  8.6 m,0
(2023 VN3),2023-Nov-02 15:27 ± < 00:01,4541189,4536249,6.18,6.16,25,26 m -   58 m,0
(2023 UY3),2023-Nov-02 16:26 ±    00:01,5381981,5370048,3.7,3.68,26.9,11 m -   25 m,0
(2023 VG),2023-Nov-02 18:29 ± < 00:01,114161,114098,8.53,8.11,28.3,5.9 m -   13 m,1
(2022 JF),2023-Nov-03 05:38 ±    11:03,5807351,3541580,17.15,17.15,24.8,30 m -   66 m,0
(2023 VL1),2023-Nov-03 10:26 ± < 00:01,4625047,4530139,14.74,14.74,26.2,15 m -   34 m,0
(2023 VW1),2023-Nov-03 14:37 ± < 00:01,938319,936392,13.83,13.8,24.7,31 m -   69 m,1
(2023 VJ),2023-Nov-03 17:27 ± < 00:01,3714317,3707452,16.49,16.49,25.5,21 m -   47 m,0
(2023 QP8),2023-Nov-03 17:59 ± < 00:01,6552275,6552167,8.84,8.83,21.6,130 m -  290 m,1
(2016 VW2),2023-Nov-03 22:53 ± 7_08:46,3862131,3662337,8.1,8.09,26.3,15 m -   33 m,0
(2019 UH7),2023-Nov-04 00:29 ± < 00:01,3808087,3808067,5.94,5.92,27.5,8.6 m -   19 m,0
(2023 VE1),2023-Nov-04 00:36 ± < 00:01,34493,34466,6.46,4.31,30.2,2.4 m -  5.4 m,1
(2023 TL31),2023-Nov-04 09:58 ± < 00:01,3117060,3114383,9.19,9.18,25.4,22 m -   48 m,0
(2023 VM3),2023-Nov-04 12:05 ± < 00:01,3508807,3475235,12.14,12.13,26.8,11 m -   25 m,0
(2023 VT2),2023-Nov-04 13:48 ± < 00:01,4247514,4231822,14.84,14.84,26.1,16 m -   35 m,0
(2023 VO1),2023-Nov-04 20:19 ± < 00:01,78132,78031,16.36,16.05,29.6,3.2 m -  7.1 m,0
(2023 VD10),2023-Nov-05 03:01 ±    00:02,6340100,6293215,6.62,6.61,26.7,12 m -   27 m,0
(2023 VU),2023-Nov-05 12:48 ± < 00:01,999031,996640,14.37,14.34,26.2,15 m -   34 m,0
(2023 VD7),2023-Nov-05 14:30 ± < 00:01,5625478,5595887,15.67,15.66,24.4,35 m -   79 m,0
(2023 VN5),2023-Nov-05 16:04 ± < 00:01,562152,559420,13.84,13.79,27.8,7.2 m -   16 m,0
(2023 VZ4),2023-Nov-05 20:48 ± < 00:01,6494217,6407639,23.95,23.95,24.7,30 m -   68 m,0
(2023 VE3),2023-Nov-05 23:03 ± < 00:01,446769,445912,10.46,10.38,26.9,11 m -   24 m,0
(2023 UG4),2023-Nov-06 02:46 ± < 00:01,2500850,2497771,3.52,3.47,26.4,14 m -   30 m,0
(2023 VG1),2023-Nov-06 05:16 ± < 00:01,3037326,3016555,10.28,10.26,27.2,9.7 m -   22 m,0
(2023 VP8),2023-Nov-06 10:05 ±    00:06,2462968,2440551,13.36,13.35,26,17 m -   38 m,0
(2023 TO15),2023-Nov-06 10:05 ± < 00:01,5805274,5800687,11.19,11.19,24.3,37 m -   82 m,0
(2023 VF4),2023-Nov-06 10:43 ± < 00:01,2985686,2984263,12.8,12.79,25.8,18 m -   41 m,0
(2023 VJ5),2023-Nov-06 14:24 ± < 00:01,4127211,4111416,8.12,8.1,25,26 m -   58 m,0
(2023 VS4),2023-Nov-06 14:45 ±    00:03,819814,815979,10.64,10.59,28.6,5.1 m -   11 m,0
(2023 VY4),2023-Nov-06 15:59 ±    00:09,1057324,1049763,16.74,16.72,27.3,9.1 m -   20 m,0
(2023 VE),2023-Nov-07 01:18 ± < 00:01,1181086,1179471,12.11,12.08,27.5,8.3 m -   19 m,0
(2023 VS),2023-Nov-07 01:18 ± < 00:01,368141,367813,3.54,3.22,29.8,2.9 m -  6.4 m,0
(2023 VH2),2023-Nov-07 02:11 ± < 00:01,6619100,6594298,14.31,14.31,25.5,22 m -   48 m,0
(2023 VB2),2023-Nov-07 07:00 ± < 00:01,32770,32753,18.02,17.34,28.2,6.0 m -   13 m,2
(2023 VP3),2023-Nov-07 08:57 ± < 00:01,132278,132252,6.64,6.17,29.5,3.4 m -  7.5 m,0
(2023 VK6),2023-Nov-07 12:00 ± < 00:01,2194922,2188074,10.24,10.22,26.9,11 m -   25 m,0
(2023 VD2),2023-Nov-07 12:53 ± < 00:01,56171,56136,8.11,7.18,30.1,2.6 m -  5.7 m,0
(2023 VZ3),2023-Nov-07 19:45 ±    00:01,4251395,4208079,13.95,13.94,26.5,13 m -   29 m,0
(2023 VF6),2023-Nov-07 22:26 ± < 00:01,2352938,2347405,5.6,5.56,27.2,9.8 m -   22 m,0
(2023 VR),2023-Nov-07 22:51 ± < 00:01,932134,931257,11.82,11.78,27.7,7.5 m -   17 m,0
(2023 VC4),2023-Nov-08 07:13 ± < 00:01,384349,383979,9.51,9.4,27,11 m -   24 m,1
(2023 VH9),2023-Nov-08 07:23 ±    00:02,2634407,2596146,25.43,25.42,26.4,14 m -   31 m,0
(2023 TD14),2023-Nov-08 08:20 ± < 00:01,3564576,3557080,6.28,6.26,25.8,18 m -   41 m,0
(2023 VO6),2023-Nov-08 09:09 ± < 00:01,2282132,2277876,5.31,5.27,28.1,6.3 m -   14 m,0
(2023 VA7),2023-Nov-08 09:25 ± < 00:01,1105660,1104052,6.83,6.78,27.2,9.8 m -   22 m,0
(2023 VD3),2023-Nov-08 17:43 ± < 00:01,490764,490617,17.93,17.88,27.1,10 m -   23 m,0
(2023 WD1),2023-Nov-08 18:30 ±    00:42,6583917,6426628,16.11,16.1,25.1,26 m -   58 m,0
(2023 VZ2),2023-Nov-08 20:29 ± < 00:01,2157277,2153377,11.15,11.13,26.9,11 m -   25 m,0
(2023 VW),2023-Nov-08 21:22 ± < 00:01,653240,652443,7.98,7.9,28,6.7 m -   15 m,0
(2023 VC),2023-Nov-09 00:01 ± < 00:01,2400762,2397463,9.65,9.63,25.5,21 m -   47 m,0
(2023 VE6),2023-Nov-09 05:18 ± < 00:01,742981,742225,9.12,9.06,27.2,9.8 m -   22 m,0
(2018 VN7),2023-Nov-09 06:19 ± < 00:01,1231762,1231726,13.17,13.15,25.3,23 m -   52 m,0
(2023 VN1),2023-Nov-09 09:55 ±    00:09,5530465,5481495,7.56,7.55,27.1,10.0 m -   22 m,0
(2023 WK),2023-Nov-09 20:02 ± < 00:01,6963961,6931012,17.47,17.46,24.8,29 m -   66 m,0
(2023 VU2),2023-Nov-10 01:34 ± < 00:01,727755,727309,6.08,5.99,28.4,5.6 m -   13 m,0
(2023 WG1),2023-Nov-10 03:23 ±    00:04,2887993,2874286,7.58,7.56,26.7,12 m -   27 m,0
(2023 VT3),2023-Nov-10 09:46 ± < 00:01,4241765,4229452,7.5,7.49,26.3,15 m -   33 m,0
(2023 VD4),2023-Nov-10 16:24 ± < 00:01,144665,144232,15.57,15.39,28.2,6.1 m -   14 m,1
(2023 VY3),2023-Nov-11 00:36 ± < 00:01,1321994,1311952,16.09,16.08,27.6,8.0 m -   18 m,0
(2023 VD1),2023-Nov-11 08:09 ± < 00:01,6567507,6542725,9.98,9.98,25.1,25 m -   56 m,0
(2023 VQ5),2023-Nov-11 14:30 ± < 00:01,1322882,1320601,6.78,6.74,27.7,7.6 m -   17 m,0
(2023 VL2),2023-Nov-11 15:12 ± < 00:01,1021559,1020463,5.95,5.88,28.2,6.1 m -   14 m,0
(2023 VK3),2023-Nov-11 16:46 ± < 00:01,2833602,2824011,3.7,3.66,28.2,6.1 m -   14 m,0
(2023 VU4),2023-Nov-11 22:16 ± < 00:01,4731392,4714798,5.28,5.26,26.5,13 m -   30 m,0
(2023 UQ4),2023-Nov-11 23:00 ± < 00:01,4087413,4086175,8.4,8.39,24.7,30 m -   67 m,0
(2023 VF3),2023-Nov-12 00:04 ± < 00:01,3404509,3385360,9.04,9.02,26.4,14 m -   31 m,0
(2023 VK9),2023-Nov-12 00:13 ± < 00:01,2744060,2725441,12.69,12.68,26.4,14 m -   31 m,0
(2023 VV7),2023-Nov-12 04:02 ± < 00:01,2260412,2256616,7.04,7.02,26.7,12 m -   28 m,0
(2023 VR3),2023-Nov-12 13:56 ± < 00:01,2274279,2270762,7.73,7.7,26.5,13 m -   30 m,0
(2023 VK1),2023-Nov-12 17:19 ± < 00:01,3850525,3843196,9.1,9.08,25.6,20 m -   44 m,0
(2023 WD),2023-Nov-12 17:49 ± < 00:01,3149698,3137821,10.1,10.08,26.6,13 m -   29 m,0
(2023 VN7),2023-Nov-12 20:20 ± < 00:01,2183180,2181613,4.94,4.9,25.5,21 m -   47 m,0
(2023 TZ2),2023-Nov-12 21:39 ± < 00:01,7278098,7275709,2.78,2.76,25.9,18 m -   39 m,0
(2023 VY1),2023-Nov-13 10:43 ± < 00:01,3391460,3388249,6.31,6.29,25,26 m -   58 m,0
(2023 VG7),2023-Nov-13 13:10 ± < 00:01,1877453,1870520,9.97,9.94,28.1,6.4 m -   14 m,0
(2014 BA3),2023-Nov-13 15:24 ± 1_11:30,6006201,5678927,2.72,2.69,28.3,5.8 m -   13 m,0
(2023 VQ7),2023-Nov-13 16:13 ± < 00:01,2219726,2216917,12.35,12.33,24.9,27 m -   61 m,0
(2023 VV1),2023-Nov-13 17:38 ± < 00:01,765481,765426,3.66,3.52,28.9,4.3 m -  9.7 m,0
(2023 VP4),2023-Nov-13 17:54 ± < 00:01,1166241,1163692,5.71,5.65,28.5,5.3 m -   12 m,0
(2023 VX),2023-Nov-13 23:39 ± < 00:01,6675051,6608019,11.12,11.12,24.2,39 m -   87 m,0
(2023 WE),2023-Nov-14 01:49 ±    00:02,1148469,1145707,10.83,10.8,27.4,8.8 m -   20 m,0
(2023 VY20),2023-Nov-14 05:43 ±    00:01,1624520,1616753,3.65,3.58,28.4,5.4 m -   12 m,0
(2023 VR4),2023-Nov-14 07:03 ± < 00:01,6870967,6863670,10.53,10.52,23,68 m -  150 m,0
