Object,Close-Approach (CA) Date,CA DistanceNominal (km),CA DistanceMinimum (km),V relative(km/s),V infinity(km/s),H(mag),Diameter,Rarity
(2023 QG4),2023-Aug-25 02:46 ± < 00:01,2533329,2524720,24.03,24.02,22.7,77 m -  170 m,1
(2023 QC2),2023-Aug-25 09:49 ± < 00:01,3530261,3514326,10.22,10.21,26.1,16 m -   36 m,0
(2023 QT1),2023-Aug-26 01:25 ± < 00:01,4405535,4382566,10.63,10.63,25.2,24 m -   54 m,0
(2023 QO7),2023-Aug-26 05:55 ± < 00:01,2970053,2954092,11.56,11.55,24.3,37 m -   82 m,0
(2007 RR17),2023-Aug-26 15:54 ± < 00:01,3195160,3195141,7.13,7.11,23.8,47 m -  100 m,1
(2023 RO16),2023-Aug-27 00:34 ± < 00:01,5697447,5697368,1.81,1.78,27.9,7.1 m -   16 m,0
(2023 RW4),2023-Aug-27 02:28 ±    00:09,6394352,6348004,9.71,9.7,25.9,18 m -   39 m,0
(2023 QR1),2023-Aug-27 03:22 ± < 00:01,1657324,1651382,5.02,4.97,27.3,9.4 m -   21 m,0
(2023 RE9),2023-Aug-27 03:43 ±    00:04,3495985,3472028,8.24,8.23,26,17 m -   38 m,0
(2023 QQ),2023-Aug-27 09:14 ± < 00:01,4093973,4070635,10.11,10.1,25.8,19 m -   42 m,0
(2023 QJ5),2023-Aug-27 13:56 ± < 00:01,1752636,1745042,12.21,12.2,27.1,10 m -   23 m,0
(2023 RA1),2023-Aug-27 18:19 ±    00:04,6056022,5940558,8.27,8.26,25.5,22 m -   48 m,0
(2023 QZ6),2023-Aug-27 21:38 ± < 00:01,3489323,3471444,17.68,17.68,24.9,28 m -   63 m,0
(2023 RT9),2023-Aug-28 04:09 ±    00:13,1201724,1188702,15.13,15.11,25.1,26 m -   58 m,1
(2023 RQ16),2023-Aug-28 22:13 ±    00:24,1487691,1457947,8.69,8.66,26.2,15 m -   35 m,0
(2023 QK5),2023-Aug-29 08:56 ± < 00:01,1507591,1501950,6.81,6.78,27.5,8.3 m -   19 m,0
(2023 QD2),2023-Aug-29 23:34 ±    00:05,1258307,1253819,7.77,7.73,26.9,11 m -   25 m,0
(2012 PZ17),2023-Aug-30 21:46 ± 2_22:04,6432708,5559291,3.58,3.56,26.7,12 m -   27 m,0
(2023 RN1),2023-Aug-31 10:39 ± < 00:01,5329704,5313722,6.41,6.4,25.2,25 m -   55 m,0
(2023 QH),2023-Aug-31 12:27 ± < 00:01,4595073,4557200,15.91,15.9,23.7,48 m -  110 m,0
(2023 RF),2023-Sep-01 06:40 ±    00:02,3913042,3877876,7.23,7.21,23.7,48 m -  110 m,0
(2023 QB2),2023-Sep-01 08:02 ± < 00:01,3105691,3093594,7.17,7.15,26.3,15 m -   33 m,0
(2023 QZ1),2023-Sep-01 15:16 ± < 00:01,6971279,6895674,18.63,18.63,24.1,39 m -   88 m,0
(2023 QU),2023-Sep-02 00:01 ± < 00:01,5216884,5192453,9.82,9.81,25.1,25 m -   56 m,0
(2023 RD),2023-Sep-02 06:22 ±    00:06,408573,406578,18.3,18.25,26.8,11 m -   25 m,1
(2017 BY32),2023-Sep-02 09:16 ± 2_05:16,6393355,5713900,3.43,3.42,26.5,14 m -   30 m,0
(2023 RX1),2023-Sep-02 19:15 ±    00:03,783193,782266,1.68,1.34,30.3,2.4 m -  5.3 m,0
(2023 RT2),2023-Sep-03 04:10 ±    00:02,2638350,2617752,13.97,13.96,25.4,22 m -   48 m,0
(2023 QG),2023-Sep-03 06:43 ± < 00:01,4432473,4428547,13.7,13.69,23.4,56 m -  130 m,0
(2023 RH1),2023-Sep-03 11:23 ±    00:01,2831763,2819671,7.52,7.5,26.6,13 m -   28 m,0
(2023 RB5),2023-Sep-03 15:41 ± < 00:01,7467392,7431799,10.19,10.18,24.3,36 m -   81 m,0
(2023 QH1),2023-Sep-03 16:36 ±    00:01,5006893,4981257,6.35,6.34,25.9,17 m -   39 m,0
(2023 RR9),2023-Sep-04 04:46 ±    00:23,2986732,2973083,7.56,7.54,26,17 m -   37 m,0
(2023 RU12),2023-Sep-04 12:49 ±    00:01,7460630,7390140,29.74,29.74,22.2,98 m -  220 m,0
(2023 RF1),2023-Sep-04 19:33 ± < 00:01,935526,935065,6.43,6.36,25.9,18 m -   40 m,0
(2023 RV1),2023-Sep-05 04:46 ± < 00:01,2588774,2569974,19.39,19.38,26.1,16 m -   36 m,0
(2023 RM16),2023-Sep-05 12:58 ± < 00:01,350689,350146,8.68,8.55,28.9,4.4 m -  9.9 m,0
(2023 RP3),2023-Sep-05 13:08 ± < 00:01,7446268,7405270,7.25,7.24,25.2,24 m -   53 m,0
(2023 RY4),2023-Sep-05 16:20 ±    00:03,4836573,4715734,13.7,13.7,25.4,22 m -   48 m,0
(2023 RW3),2023-Sep-05 17:36 ± < 00:01,3715285,3696413,5.34,5.32,26.5,13 m -   30 m,0
(2023 RZ3),2023-Sep-05 18:52 ± < 00:01,5210724,5168838,19.06,19.06,25.7,19 m -   43 m,0
(2023 RU1),2023-Sep-05 23:23 ± < 00:01,6251391,6218812,5.62,5.61,26.5,13 m -   30 m,0
(2023 RW5),2023-Sep-06 03:16 ±    00:01,2163247,2136647,9.62,9.6,25.4,22 m -   49 m,0
(2023 RQ),2023-Sep-06 05:47 ± < 00:01,3190358,3178907,20.21,20.21,24.3,37 m -   83 m,0
(2023 RN16),2023-Sep-06 08:01 ± < 00:01,4886178,4866845,10.03,10.02,25.7,19 m -   43 m,0
(2023 RA3),2023-Sep-06 08:15 ±    00:05,1866019,1856111,10.09,10.07,26.2,15 m -   34 m,0
(2023 RK6),2023-Sep-06 18:18 ± < 00:01,4401577,4381450,19.06,19.05,25.7,20 m -   44 m,0
(2023 RH3),2023-Sep-06 19:43 ± < 00:01,3726212,3715240,9.41,9.4,26.3,14 m -   32 m,0
(2023 RF156),2023-Sep-06 20:33 ± < 00:01,362180,361466,8.1,7.96,29.7,3.1 m -  7.0 m,0
(2023 RZ2),2023-Sep-06 20:51 ± < 00:01,705789,701382,8.62,8.56,27.1,9.9 m -   22 m,0
(2021 JA5),2023-Sep-06 21:32 ± 7_13:03,5108308,5069073,10.85,10.85,26.4,14 m -   31 m,0
(2023 RP1),2023-Sep-06 23:39 ±    00:08,4321495,4305508,6.62,6.61,27.2,9.8 m -   22 m,0
(2023 RD6),2023-Sep-07 00:19 ±    00:02,6460585,6434672,8.52,8.51,26.3,15 m -   33 m,0
(2023 RD16),2023-Sep-07 01:01 ±    00:05,5431681,5400400,12.14,12.13,25.9,17 m -   39 m,0
(2023 RS1),2023-Sep-07 04:19 ± < 00:01,2459313,2455499,9.05,9.03,24,42 m -   93 m,1
(2023 RX2),2023-Sep-07 07:32 ± < 00:01,2566654,2556130,8.93,8.91,27.3,9.1 m -   20 m,0
(2023 RX4),2023-Sep-07 11:47 ± < 00:01,620244,619205,11.09,11.03,27.5,8.5 m -   19 m,0
(2023 RS),2023-Sep-07 14:26 ± < 00:01,10361,10345,13.59,10.38,32.3,0.91 m -  2.0 m,0
(2023 RN9),2023-Sep-07 14:59 ±    00:05,616218,614983,5.64,5.53,28.2,6.2 m -   14 m,0
(2023 RG22),2023-Sep-07 18:55 ±    00:39,381766,374215,11.2,11.11,26.1,16 m -   35 m,1
(2023 RQ2),2023-Sep-08 06:33 ± < 00:01,409630,408404,16.24,16.18,28.4,5.5 m -   12 m,0
(2023 RY2),2023-Sep-08 06:42 ± < 00:01,189304,188873,10.49,10.28,28.3,5.8 m -   13 m,0
(2023 QC5),2023-Sep-08 10:08 ± < 00:01,4075148,4073062,7.59,7.58,25.6,20 m -   44 m,0
(2020 GE),2023-Sep-08 12:49 ± < 00:01,5724643,5724615,1.45,1.4,28.2,6.2 m -   14 m,0
(2023 RH),2023-Sep-08 18:15 ± < 00:01,1634167,1631382,19.12,19.11,25.5,21 m -   47 m,0
(2023 RY15),2023-Sep-08 19:25 ± < 00:01,594774,593695,10.17,10.11,28,6.7 m -   15 m,0
(2023 SM3),2023-Sep-08 19:56 ±    00:41,5695632,5503237,11.36,11.35,26.7,12 m -   27 m,0
(2023 RG),2023-Sep-08 20:04 ± < 00:01,1647110,1643658,12.47,12.45,27.3,9.0 m -   20 m,0
(2023 RM),2023-Sep-09 01:06 ±    00:16,3293079,3281891,6,5.98,27.4,8.7 m -   20 m,0
(2023 SG4),2023-Sep-09 01:11 ±    00:38,4518943,4447087,7.55,7.53,24.4,35 m -   78 m,0
(2023 RF4),2023-Sep-09 03:05 ± < 00:01,1755799,1753774,10.96,10.94,25.3,24 m -   53 m,0
(2023 RL),2023-Sep-09 07:00 ± < 00:01,755069,754278,5.38,5.28,28.4,5.4 m -   12 m,0
(2023 RO6),2023-Sep-09 07:32 ±    00:02,2125879,2113180,12.69,12.68,26.7,12 m -   27 m,0
(2023 RK5),2023-Sep-09 10:47 ± < 00:01,281889,281440,10.12,9.98,29.1,4.0 m -  9.0 m,0
(2023 SN),2023-Sep-09 13:57 ±    00:13,1928870,1918174,12.04,12.02,26.5,13 m -   30 m,0
(2023 RX),2023-Sep-09 14:46 ± < 00:01,1188716,1185337,11.54,11.51,27.3,9.2 m -   21 m,0
(2023 SJ5),2023-Sep-09 21:43 ±    00:17,4983982,4928376,15.77,15.76,24.2,39 m -   86 m,0
(2023 RB1),2023-Sep-10 03:19 ±    00:05,5837278,5766176,8.7,8.69,26.7,12 m -   27 m,0
(2023 RL7),2023-Sep-10 05:08 ±    00:01,1950550,1944144,11.55,11.53,27.2,9.6 m -   21 m,0
(2023 RS29),2023-Sep-10 06:55 ± < 00:01,3558795,3542370,5.99,5.97,27.5,8.3 m -   19 m,0
